Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,13C
1,101.02453034199664,101.02453034199664,101.0244175199101,2477.4390208500563,-1.0135341182205364,263245.75095468666,122.58145451227489,-1,-1.1167803715687563,0.000979096852130651,0.0,0.0005874581112783906,2.0,1.5,0.75,O3,de-protonated,0,,C4 H6 O3,4,6,3,
2,101.06090274552204,101.06090274552204,101.0608030292944,461.99615319995826,-0.18455630160253828,263198.3759821545,22.859154135263076,-1,-0.9866953818762877,0.004477412931115414,0.0,0.0026864477586692483,1.0,2.0,0.4,O2,de-protonated,0,,C5 H10 O2,5,10,2,
4,103.04015649858526,103.04015649858526,103.0400675843881,540.0281165219783,-0.22956416514357392,260658.25180967318,26.720105497520894,-1,-0.8629089561809449,0.01597496303673712,0.0,0.00958497782204227,1.0,2.0,0.75,O3,de-protonated,0,,C4 H8 O3,4,8,3,
6,107.05035279121724,107.05035279121724,107.0502383452447,216.37278582439205,-0.09566184178954815,255729.12843207573,10.705930834223427,-1,-1.0690865738505135,0.0017472702451325913,0.0,0.0010483621470795546,4.0,1.1428571428571428,0.14285714285714285,O1,de-protonated,0,,C7 H8 O1,7,8,1,
8,109.0296150152082,109.0296150152082,109.0295029003384,675.256046661805,-7.40351958939504,253397.62920416036,33.41106185516176,-1,-1.0282984587742898,0.0028103906623787385,0.0,0.001686234397427243,4.0,1.0,0.3333333333333333,O2,de-protonated,0,,C6 H6 O2,6,6,2,
9,109.06597213698863,109.06597213698863,109.0658884097227,151.91591849157706,-0.0685077129558509,253355.37921090244,7.516663011901753,-1,-0.7676760089878338,0.0378533475730654,0.0,0.02271200854383924,3.0,1.4285714285714286,0.14285714285714285,O1,de-protonated,0,,C7 H10 O1,7,10,1,
10,111.00888616855849,111.00888616855849,111.0087674554321,505.5427203878987,-0.24297531598814073,251128.13000122012,25.01379911339968,-1,-1.0694031571065035,0.0017407108134133594,0.0,0.0010444264880480156,4.0,0.8,0.6,O3,de-protonated,0,,C5 H4 O3,5,4,3,
11,111.04527035934663,111.04527035934663,111.0451529648164,883.9099614578677,-0.4305633395646379,251087.00503789604,43.7350698933518,-1,-1.0571783378308317,0.002011180241669728,0.0,0.0012067081450018368,3.0,1.3333333333333333,0.3333333333333333,O2,de-protonated,0,,C6 H8 O2,6,8,2,
12,111.08164232589688,111.08164232589688,111.0815384742007,151.73287558925193,-0.07102210908051074,251045.8800296053,7.507606213725762,-1,-0.9349140965079726,0.00778222373339193,0.0,0.004669334240035158,2.0,1.7142857142857142,0.14285714285714285,O1,de-protonated,0,,C7 H12 O1,7,12,1,
16,113.02453332893812,113.02453332893812,113.0244175199101,2712.8139518994226,-1.333000922484925,199103.1546197878,134.22759440146493,-1,-1.0246372470507117,0.0036555489385786443,0.997902355105464,0.4013542714053328,3.0,1.2,0.6,O3,de-protonated,0,,C5 H6 O3,5,6,3,
19,114.02788509215101,114.02788509215101,114.0277723549824,141.47673682450952,-0.06816797889712983,247781.38117316374,7.000141692144731,-1,-0.9886816718277103,0.004380869555696341,0.997902355105464,0.40178946377560343,3.0,1.5,0.75,13C1 O3,de-protonated,1,16,C4 H6 O3 13C1,4,6,3,1
17,113.0608876942338,113.0608876942338,113.0608030292944,378.6644983333384,-0.18115147378028967,248838.7557759665,18.735978801986768,-1,-0.7488443131929865,0.044361793059679036,0.0,0.02661707583580742,2.0,1.6666666666666667,0.3333333333333333,O2,de-protonated,0,,C6 H10 O2,6,10,2,
18,113.09728308942601,113.09728308942601,113.0971885386787,175.65327513428625,-0.08746402026736169,248799.00581400713,8.691166068909997,-1,-0.8360132426114061,0.0205914659009506,0.0,0.012354879540570358,1.0,2.0,0.14285714285714285,O1,de-protonated,0,,C7 H14 O1,7,14,1,
20,115.00379006244465,115.00379006244465,115.0036820750038,2592.687189149483,-1.3383953242345092,246728.13156087743,128.2838302240984,-1,-0.9389911601753936,0.007458822108042298,0.0,0.004475293264825379,3.0,1.0,1.0,O4,de-protonated,0,,C4 H4 O4,4,4,4,
21,115.04015586222484,115.04015586222484,115.0400675843881,3321.20991844982,-1.704218227006507,246689.13154532833,164.33047962749964,-1,-0.7673660020550161,0.046111008465281156,0.9935824013897653,0.42509956563507484,2.0,1.6,0.6,O3,de-protonated,0,,C5 H8 O3,5,8,3,
23,116.04350645975126,116.04350645975126,116.0434224194604,204.79599988102217,-0.1014172687549395,245620.38194341643,10.133121878050362,-1,-0.7242141700559047,0.05426846244820079,0.9935824013897653,0.4299940380248266,2.0,2.0,0.75,13C1 O3,de-protonated,1,21,C4 H8 O3 13C1,4,8,3,1
22,115.07652636471202,115.07652636471202,115.0764530937724,498.6963736311543,-0.25416025226857614,246649.88159108142,24.67504803356516,-1,-0.6367153110242709,0.1051615323962282,0.0,0.06309691943773692,1.0,2.0,0.3333333333333333,O2,de-protonated,0,,C6 H12 O2,6,12,2,
25,117.0194003477483,117.0194003477483,117.01933213948179,3158.6124673488694,-1.6622187975597356,244594.00733275135,156.285303989189,-1,-0.5828803263969584,0.20929257775450172,0.9990296477824235,0.5251874057656705,2.0,1.5,1.0,O4,de-protonated,0,,C4 H6 O4,4,6,4,
27,118.02274450384938,118.02274450384938,118.02268697455409,134.3267613106344,-22.60172984271805,243552.132790646,6.646367334494857,-1,-0.48744268381756756,0.26713475284416677,0.9990296477824235,0.5598927108194695,2.0,2.0,1.3333333333333333,13C1 O4,de-protonated,1,25,C3 H6 O4 13C1,3,6,4,1
26,117.05578143865836,117.05578143865836,117.05571764886609,465.6572612898739,-0.23681937615013388,244556.00738031516,23.04030247070607,-1,-0.544952382896432,0.1920786119580453,0.0,0.11524716717482716,1.0,2.0,0.6,O3,de-protonated,0,,C5 H10 O3,5,10,3,
30,119.03503629232453,119.03503629232453,119.0349822039598,301.7822809911901,-0.15759022135617326,242514.00813604853,14.931915836717208,-1,-0.4543904970890127,0.31756918562242975,0.0,0.19054151137345784,1.0,2.0,1.0,O4,de-protonated,0,,C4 H8 O4,4,8,4,
32,121.02957641551764,121.02957641551764,121.0295029003384,1348.870510757886,-0.7524740062876613,192406.05707026235,66.74089968143122,-1,-0.607415361351243,0.1287682207685142,0.0,0.07726093246110853,5.0,0.8571428571428571,0.2857142857142857,O2,de-protonated,0,,C7 H6 O2,7,6,2,
33,123.00885191406681,123.00885191406681,123.0087674554321,210.55553007360754,-0.11561434521986175,238564.63456573687,10.418098251786589,-1,-0.6866066252834857,0.07287219691415699,0.0,0.04372331814849419,5.0,0.6666666666666666,0.5,O3,de-protonated,0,,C6 H4 O3,6,4,3,
34,123.04523327248917,123.04523327248917,123.0451529648164,327.79110884500693,-0.18915272005575456,238529.38462431918,16.218809246261674,-1,-0.6526683159787388,0.09380539128495281,0.0,0.056283234770971684,4.0,1.1428571428571428,0.2857142857142857,O2,de-protonated,0,,C7 H8 O2,7,8,2,
35,125.0245236441585,125.0245236441585,125.0244175199101,1518.9790908391212,-0.8882930414889714,236634.0103143547,75.15771922608377,-1,-0.848828177002073,0.018263891682947148,0.0,0.010958335009768288,4.0,1.0,0.5,O3,de-protonated,0,,C6 H6 O3,6,6,3,
36,125.06086365226614,125.06086365226614,125.0608030292944,306.39732843444665,-0.1711363779886916,236599.63539909708,15.160264233378626,-1,-0.4847479806794032,0.2710511300051119,0.0,0.16263067800306713,3.0,1.4285714285714286,0.2857142857142857,O2,de-protonated,0,,C7 H10 O2,7,10,2,
37,125.09726441573342,125.09726441573342,125.0971885386787,178.1013205671576,-0.09828033882985288,236564.88536810307,8.812293155126042,-1,-0.6065448441552082,0.1295264377062392,0.0,0.07771586262374351,2.0,1.75,0.125,O1,de-protonated,0,,C8 H14 O1,8,14,1,
39,127.00377427397208,127.00377427397208,127.0036820750038,642.3692630559044,-0.38942084075763944,234782.88603356024,31.78385338112291,-1,-0.7259550808529435,0.053512625438141066,0.0,0.03210757526288464,4.0,0.8,0.8,O4,de-protonated,0,,C5 H4 O4,5,4,4,
40,127.0401658258103,127.0401658258103,127.0400675843881,2163.364578343717,-1.765813316329358,234749.2610218598,107.04133357951063,-1,-0.7733105316767561,0.026925114439852973,0.9950959708546105,0.41419345700575605,3.0,1.3333333333333333,0.5,O3,de-protonated,0,,C6 H8 O3,6,8,3,
